mission,device_type,device_status,count,mission,device_type,unknown_count,device_type,killed_count,mission,device_type,count,percentage
OrbitOne,satellite,Excellent,42,,,,satellite,53.0,OrbitOne,satellite,227.0,38.80341880341881
OrbitOne,satellite,Faulty,39,,,,spacecraft,29.0,OrbitOne,spacecraft,62.0,10.598290598290598
OrbitOne,satellite,Good,40,,,,,,OrbitOne,spacesuit,11.0,1.8803418803418803
OrbitOne,satellite,Killed,36,,,,,,Unknow,unknow,38.0,6.495726495726497
OrbitOne,satellite,Unknow,28,,,,,,VacMars,satellite,118.0,20.17094017094017
OrbitOne,satellite,Warning,42,,,,,,VacMars,spacecraft,123.0,21.025641025641026
OrbitOne,spacecraft,Excellent,9,,,,,,VacMars,spacesuit,6.0,1.0256410256410255
OrbitOne,spacecraft,Faulty,7,,,,,,,,,
OrbitOne,spacecraft,Good,10,,,,,,,,,
OrbitOne,spacecraft,Killed,11,,,,,,,,,
OrbitOne,spacecraft,Unknow,14,,,,,,,,,
OrbitOne,spacecraft,Warning,11,,,,,,,,,
OrbitOne,spacesuit,Excellent,2,,,,,,,,,
OrbitOne,spacesuit,Faulty,5,,,,,,,,,
OrbitOne,spacesuit,Good,3,,,,,,,,,
OrbitOne,spacesuit,Warning,1,,,,,,,,,
Unknow,unknow,Unknow,38,,,,,,,,,
VacMars,satellite,Excellent,25,,,,,,,,,
VacMars,satellite,Faulty,26,,,,,,,,,
VacMars,satellite,Good,12,,,,,,,,,
VacMars,satellite,Killed,17,,,,,,,,,
VacMars,satellite,Unknow,17,,,,,,,,,
VacMars,satellite,Warning,21,,,,,,,,,
VacMars,spacecraft,Excellent,24,,,,,,,,,
VacMars,spacecraft,Faulty,17,,,,,,,,,
VacMars,spacecraft,Good,28,,,,,,,,,
VacMars,spacecraft,Killed,18,,,,,,,,,
VacMars,spacecraft,Unknow,20,,,,,,,,,
VacMars,spacecraft,Warning,16,,,,,,,,,
VacMars,spacesuit,Excellent,2,,,,,,,,,
VacMars,spacesuit,Good,1,,,,,,,,,
VacMars,spacesuit,Unknow,2,,,,,,,,,
VacMars,spacesuit,Warning,1,,,,,,,,,
