mission,device_type,device_status,count,mission,device_type,unknown_count,device_type,killed_count,mission,device_type,count,percentage
OrbitOne,satellite,Excellent,10,,,,satellite,7.0,OrbitOne,satellite,55.0,71.42857142857143
OrbitOne,satellite,Faulty,15,,,,spacecraft,2.0,OrbitOne,spacecraft,6.0,7.792207792207792
OrbitOne,satellite,Good,10,,,,,,Unknow,unknow,16.0,20.77922077922078
OrbitOne,satellite,Killed,7,,,,,,,,,
OrbitOne,satellite,Unknow,4,,,,,,,,,
OrbitOne,satellite,Warning,9,,,,,,,,,
OrbitOne,spacecraft,Excellent,1,,,,,,,,,
OrbitOne,spacecraft,Killed,2,,,,,,,,,
OrbitOne,spacecraft,Unknow,2,,,,,,,,,
OrbitOne,spacecraft,Warning,1,,,,,,,,,
Unknow,unknow,Unknow,16,,,,,,,,,
